STARTINDEX	ENDINDEX	COST
20	10	120
10	20	120
10	6	150
6	10	120
6	43	60
43	6	75
43	17	120
17	43	105
17	7	165
7	17	120
7	29	165
29	7	105
29	34	75
34	29	75
34	18	150
18	34	195
18	50	150
50	18	120
50	38	15
38	50	15
38	5	105
5	38	90
5	1	75
1	5	90
1	37	90
37	1	60
37	25	120
25	37	165
25	41	180
41	25	135
41	14	75
14	41	75
14	16	150
16	14	180
39	33	180
33	39	150
33	13	150
13	33	120
13	0	135
0	13	180
0	8	60
8	0	45
8	40	150
40	8	150
40	34	105
34	40	75
40	47	75
47	40	45
34	46	210
46	34	210
46	25	300
25	46	315
25	21	75
21	25	75
21	25	120
25	21	210
25	16	75
16	25	75
16	41	120
41	16	60
41	3	135
3	41	120
3	45	120
45	3	150
45	22	105
22	45	60
22	11	150
11	22	210
11	35	60
35	11	45
35	15	150
15	35	150
15	36	105
36	15	120
47	4	135
4	47	90
29	28	210
28	29	120
28	42	60
42	28	105
42	37	90
37	42	60
37	44	60
44	37	120
44	22	15
22	44	15
16	21	120
21	16	90
26	35	105
35	26	75
24	49	225
49	24	240
49	23	180
23	49	195
23	32	150
32	23	150
38	24	90
24	38	105
24	12	210
12	24	180
12	9	45
9	12	75
9	27	105
27	9	75
27	19	75
19	27	120
19	17	135
17	19	90
42	5	75
5	42	60
31	3	90
3	31	60
28	21	45
21	28	45
7	40	195
40	7	180
41	48	15
48	41	15
30	0	90
0	30	75
2	44	60
44	2	45
